time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-09 00:00:00+00:00,1,1,0,0
2024-04-10 00:00:00+00:00,3,3,0,0
2024-04-11 00:00:00+00:00,1,1,16,1
2024-04-12 00:00:00+00:00,1,1,0,0
2024-04-13 00:00:00+00:00,2,2,0,0
2024-04-14 00:00:00+00:00,1,1,0,0
2024-04-15 00:00:00+00:00,1,1,0,0
2024-04-16 00:00:00+00:00,4,2,0,0
2024-04-17 00:00:00+00:00,1,1,0,0
2024-04-18 00:00:00+00:00,5,2,0,0
2024-04-19 00:00:00+00:00,1,1,24,1
2024-04-20 00:00:00+00:00,1,1,0,0
2024-04-21 00:00:00+00:00,5,2,1,1
2024-04-22 00:00:00+00:00,9,8,66,2
2024-04-23 00:00:00+00:00,2,2,1,1
2024-04-24 00:00:00+00:00,5,2,0,0
2024-04-25 00:00:00+00:00,1,1,0,0
2024-04-26 00:00:00+00:00,1,1,0,0
2024-04-27 00:00:00+00:00,1,1,2,1
2024-04-28 00:00:00+00:00,1,1,0,0
2024-04-29 00:00:00+00:00,1,1,1,1
2024-04-30 00:00:00+00:00,1,1,1,1
2024-05-01 00:00:00+00:00,2,2,0,0
2024-05-02 00:00:00+00:00,2,2,0,0
2024-05-03 00:00:00+00:00,1,1,0,0
2024-05-04 00:00:00+00:00,5,2,0,0
2024-05-05 00:00:00+00:00,6,3,0,0
2024-05-06 00:00:00+00:00,2,2,0,0
2024-05-07 00:00:00+00:00,1,1,9,3
2024-05-08 00:00:00+00:00,2,2,2,2
2024-05-09 00:00:00+00:00,2,2,0,0
2024-05-10 00:00:00+00:00,1,1,2,2
2024-05-11 00:00:00+00:00,1,1,0,0
2024-05-12 00:00:00+00:00,5,2,0,0
2024-05-13 00:00:00+00:00,1,1,1,1
2024-05-14 00:00:00+00:00,1,1,0,0
2024-05-15 00:00:00+00:00,1,1,0,0
2024-05-16 00:00:00+00:00,5,2,0,0
2024-05-17 00:00:00+00:00,1,1,0,0
2024-05-18 00:00:00+00:00,5,2,0,0
2024-05-19 00:00:00+00:00,1,1,0,0
2024-05-20 00:00:00+00:00,1,1,0,0
2024-05-21 00:00:00+00:00,1,1,64,1
2024-05-22 00:00:00+00:00,6,3,53,2
2024-05-23 00:00:00+00:00,5,2,1,1
2024-05-24 00:00:00+00:00,1,1,0,0
2024-05-25 00:00:00+00:00,2,2,0,0
2024-05-26 00:00:00+00:00,1,1,0,0
2024-05-27 00:00:00+00:00,4,2,0,0
2024-05-28 00:00:00+00:00,5,2,0,0
2024-05-29 00:00:00+00:00,2,2,0,0
2024-05-30 00:00:00+00:00,1,1,6,4
2024-05-31 00:00:00+00:00,1,1,0,0
2024-06-01 00:00:00+00:00,4,2,0,0
2024-06-02 00:00:00+00:00,5,2,0,0
2024-06-03 00:00:00+00:00,2,2,0,0
2024-06-04 00:00:00+00:00,5,2,2,1
2024-06-05 00:00:00+00:00,5,2,0,0
2024-06-06 00:00:00+00:00,5,2,8,6
2024-06-07 00:00:00+00:00,5,2,1,1
2024-06-08 00:00:00+00:00,5,2,0,0
2024-06-09 00:00:00+00:00,1,1,0,0
